id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1258	android	-0.5069	0.7432	1	58	269	69	2017.8696
1259	android (operating system)	-0.7023	0.75	1	67	483	147	2019.8435
1697	application programs	-0.335	0.4709	1	80	446	117	2018.6239
1750	apps	0.3018	0.7	3	56	233	56	2019.3214
4084	cell phone	0.6914	0.3641	2	66	366	98	2019.1429
4090	cell phones	0.5343	-0.3394	2	70	383	67	2013.6866
4151	cellular phone	0.5406	-0.5351	2	64	332	85	2010.8941
4169	cellular telephone systems	-0.3705	-0.5886	1	62	334	76	2012.1711
4170	cellular telephones	-0.2665	-0.6675	1	64	346	81	2015.9877
4782	clinical practice	1.0183	0.1941	2	64	323	64	2017.9375
4811	clinical trial	0.5613	0.2358	2	54	155	58	2017.931
5774	computer security	0.7058	-0.2104	2	95	2554	608	2016.8207
6968	cyber security	-0.904	0.5517	1	65	339	109	2020.789
7017	cybersecurity	-0.7759	0.5313	1	74	417	138	2021.3116
7327	data security	-0.0918	0.2371	1	73	243	74	2018.7027
7998	devices	0.979	0.0596	2	69	605	126	2016.9286
9224	e health	-0.3223	-0.2909	3	53	217	52	2018.9808
9255	e-health	-0.1449	-0.3717	3	75	454	146	2016.6986
9646	ehealth	0.0191	-0.2475	3	93	957	294	2018.085
9916	electronic health	-0.6045	-0.7878	3	51	216	52	2020.2308
9921	electronic health record	0.1753	-0.5693	2	93	1239	258	2017.8953
9933	electronic health records	0.5261	-0.6928	2	82	863	169	2016.787
9955	electronic medical record	0.4069	-0.6542	2	87	803	156	2015.1923
13276	health	-0.2448	-0.0824	1	93	1430	457	2014.674
13311	health behavior	1.1599	0.3626	2	50	226	52	2018.5577
13322	health care	-0.4461	-0.1614	1	97	3157	1098	2015.776
13325	health care application	-1.0377	0.2221	1	65	383	129	2017.5969
13366	health care personnel	0.8967	0.2533	2	85	1007	214	2018.5
13368	health care planning	1.1991	-0.0005	2	51	231	62	2014.8226
13369	health care policy	1.2152	-0.1493	2	53	341	81	2017.358
13372	health care professionals	-0.1758	-0.2094	1	81	351	77	2015.9091
13374	health care providers	-0.3986	-0.0145	1	82	395	97	2015.9588
13375	health care quality	1.0475	-0.1149	2	69	473	113	2015.0265
13386	health care system	0.9359	-0.375	2	76	665	146	2017.8356
13470	health insurance	0.5705	-0.1943	2	82	619	138	2016.5217
13501	health monitoring	-0.5743	-0.0192	1	61	231	102	2016.7549
13516	health personnel	0.8832	0.56	2	55	242	55	2017.8727
13536	health promotion	1.0555	0.4877	2	50	212	59	2019.0678
13539	health records	-0.7016	-0.6896	3	55	246	64	2019.1719
13551	health risks	-0.6701	0.081	1	82	613	235	2016.8255
13560	health service	0.8779	-0.1092	2	66	419	103	2015.9903
13563	health services	0.156	0.0156	2	79	288	79	2016.3797
13582	health status	0.4294	0.1716	2	70	254	81	2017.679
13590	health survey	0.7327	0.1812	2	66	295	99	2017.404
13616	health-care system	-0.8443	-0.384	1	69	355	93	2015.6774
13630	healthcare	-0.4507	0.3055	1	88	798	279	2018.9928
13670	healthcare industry	-0.8371	0.1974	1	66	227	65	2019.0615
13744	healthcare services	-0.968	-0.3297	1	67	364	115	2017.2783
13758	healthcare systems	-0.5132	0.1035	1	68	201	65	2021.4
18123	m-health	0.1522	0.224	3	75	313	79	2017.3797
18730	medical applications	-0.2858	0.0809	1	71	287	83	2015.6145
18754	medical computing	-0.4975	-0.4918	1	89	1088	279	2015.7527
18765	medical data	-0.4858	-0.3585	1	71	284	78	2017.0385
18788	medical devices	-0.5793	0.3135	1	69	225	62	2016.8065
18840	medical imaging	-0.673	-0.39	1	63	242	82	2017.8659
18847	medical informatics	0.7354	-0.5656	2	83	865	197	2015.401
18851	medical information	0.3706	-0.1475	2	92	956	207	2016.7971
18857	medical information system	0.9318	-0.54	2	72	604	123	2015.9106
18858	medical information systems	-0.7274	-0.5215	1	66	417	114	2017.2719
18913	medical record	0.3334	-0.4614	2	87	770	168	2014.8988
18939	medical services	-0.5997	-0.212	1	69	282	81	2019.4691
18963	medical technology	1.1532	-0.3126	2	59	385	76	2016.4605
18994	medication compliance	1.2807	0.1528	2	49	220	51	2019
19268	mhealth	-0.1617	0.3448	1	97	3873	1272	2018.9843
19686	mobile	-0.1127	0.0991	1	69	243	71	2015.507
19698	mobile ad hoc networks	-1.2303	0.0709	1	36	126	76	2017.1974
19720	mobile agents	-1	-0.1604	1	44	139	59	2014.1017
19735	mobile app	0.0723	0.7293	3	63	285	108	2021.3796
19741	mobile application	0.8354	0.4006	2	93	3283	832	2019.1226
